;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Referencia;Nombre;Categoría;Contenido paquete;Composición del material;Nombre de la marca;2022Año;Estación;Unidad de venta;Color;Talla;Stock;N° de piezas fuera de unidad de stock;Pedido;Reserva de proveedor (cantidad de artículos individuales);Preventa;Preventa (cantidad de artículos individuales);Código de barras;Peso (en gramos);Ubicación;Precio de compra;Proveedor;Precio A;Precio B;Precio C;Precio D;Precio Promoción;País de origen;Descuento (%);Observación;Cantidad de compras;Ventas;Importe de venta;Margen €;Precio medio de venta;Precio de compra del stock positivos;Valor de stock;Stock precio A;Fecha de creación
KU896;;Sin categoría;;;;;VERANO;1;AMARILLO;;10;0;0;0;0;0;2027290004759;0;;0;;12;12;12;0;0;;;;0;2;28,9;28,9;14,45;0;0;120;2026-06-05
KU896;;Sin categoría;;;;;VERANO;1;AZUL;;8;0;0;0;0;0;2027290004760;0;;0;;12;12;12;0;0;;;;0;4;52,9;52,9;13,23;0;0;96;2026-06-05
KU896;;Sin categoría;;;;;VERANO;1;ROSA;;8;0;0;0;0;0;2027290005216;0;;0;;12;12;12;0;0;;;;0;2;24;24;12;0;0;96;2026-06-05
KU771;;Sin categoría;;;;;VERANO;1;ROSA PALO;;9;0;0;0;0;0;2027290004757;0;;0;;12;12;12;0;0;;;;0;1;16,9;16,9;16,9;0;0;108;2026-06-05
KU771;;Sin categoría;;;;;VERANO;1;AMARILLO;;10;0;0;0;0;0;2027290005160;0;;0;;12;12;12;0;0;;;;0;0;0;0;0;0;0;120;2026-06-05
KU771;;Sin categoría;;;;;VERANO;1;AZUL;;0;0;0;0;0;0;2027290005161;0;;0;;12;12;12;0;0;;;;0;0;0;0;0;0;0;0;2026-06-05
KU897;;Sin categoría;;;;;VERANO;1;AZUL;;9;0;0;0;0;0;2027290005217;0;;0;;10;10;10;0;0;;;;0;5;34;34;6,8;0;0;90;2026-06-26
KU897;;Sin categoría;;;;;VERANO;1;AMARILLO;;9;0;0;0;0;0;2027290005253;0;;0;;10;10;10;0;0;;;;0;4;24;24;6;0;0;90;2026-06-26
KU680;;Sin categoría;;;;;;1;VERDE OLIVA;;10;0;0;0;0;0;2027290005221;0;;0;;10;10;10;10;0;;;;0;0;0;0;0;0;0;100;2026-06-28
KU680;;Sin categoría;;;;;;1;AZUL CLARO;;10;0;0;0;0;0;2027290005222;0;;0;;10;10;10;10;0;;;;0;0;0;0;0;0;0;100;2026-06-28
